Document Title,Year,Abstract,IEEE Terms,Author Keywords,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,PDF Link,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
Ten years of access for all from WSE 2001 to WSE 2011,2011,"At WSE 2001 the theme was Access for All. A decade later, this theme is revisited for WSE 2011. We take this opportunity to discuss the past, present, and future of Web accessibility. Five representative categories of Web accessibility are considered: accommodating disabilities, Web literacy, user interfaces, lingual barriers, and open data.",Conferences;Guidelines;Internet;Law;Web pages,Web accessibility;Web literacy;digital divide;lingual barriers;open data;usability,H. Kienle; P. Tramontana; S. Tilley; D. Bolchini,"M&#x00E4;lardalen Universtiy, V&#x00E4;ster&#x00E5;s, Sweden",2011 13th IEEE International Symposium on Web Systems Evolution (WSE),20111117,,,99,104,1550-4441;15504441,Electronic:978-1-4577-0700-1; POD:978-1-4577-0699-8,10.1109/WSE.2011.6081827,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6081827,Web sites;software maintenance,WSE 2001;WSE 2011;Web accessibility;Web literacy;Web site evolution;access-for-all;disabilities;lingual barrier;open data;user interface,,1,,44,,,,30-30 Sept. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Integrative Research: The EuroGEOSS Experience,2012,"The implementation of the INSPIRE Directive in Europe and similar efforts around the globe to develop spatial data infrastructures and global systems of systems have been largely focusing on the adoption of agreed technologies, standards, and specifications to address the interoperability challenge. However, addressing the key scientific challenges of humanity in the 21st century requires a more comprehensive integrative research effort, which in turn may pose more complex requirements on the systems to be integrated, and increase the number of arrangements required to support them. This paper analyses the main challenges related to integrative interoperability, such as mutual understanding of requirements and methods, theoretical underpinning, and tacit knowledge. To illustrate our contribution to the integrative research, the paper proposes the flexible approach to interoperability, based on mediation and brokering, that has been implemented by the EuroGEOSS research project. It also demonstrates that this approach allows scientific and non-scientific stakeholders to overcome the increased complexity of the integration effort mentioned above and charts the trajectory for the evolution of current spatial data infrastructures.",Europe;Geoscience and remote sensing;Global Earth Observation System of Systems;Research initiatives,Geographic information systems;geoscience and remote sensing;integrative research;research initiatives,L. Vaccari; M. Craglia; C. Fugazza; S. Nativi; M. Santoro,"Institute for Environment and Sustainability European Commission (EC)&#191;Joint Research Centre (JRC), Ispra, Italy",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,20121228,5,6,1603,1611,1939-1404;19391404,,10.1109/JSTARS.2012.2190382,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6187671,geographic information systems;geophysics,EuroGEOSS experience;Europe;INSPIRE Directive;integrative research;interoperability challenge;spatial data infrastructure,,13,,67,,,20120419,Dec. 2012,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
SIGMA - SemantIc Government Mash-Up Application: Using Semantic Web Technologies to Provide Access to Governmental Data,2011,"The paper presents SIGMA (Semantic Government Mash-up Application), a platform able to create mash-ups by providing access to open governmental data. The proposed solution is based on the existing semantic Web technologies (especially RDF and SPARQL) and uses public distributed endpoints conforming to the Linked Data initiative. Also, SIGMA allows creating and deployment of independent plugins, encouraging the developers to build innovative applications, visualization solutions and mash-ups that give an improved access to the governmental data.",Catalogs;Data models;Government;Resource description framework;Semantics;Web sites,linked data;open government;semantic Web,C. Gheorghiu; R. Nicolescu; A. V. Bogdan; C. Ochisor; S. C. Buraga; L. Alboaie,"Fac. of Comput. Sci., Alexandru loan Cuza Univ., Iasi, Romania",2011 10th International Symposium on Parallel and Distributed Computing,20111222,,,247,253,2379-5352;23795352,Electronic:978-0-7695-4540-0; POD:978-1-4577-1536-5,10.1109/ISPDC.2011.43,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6108280,government data processing;semantic Web,SIGMA;linked data initiative;open governmental data;public distributed endpoints;semantic Web technologies;semantic government mash-up application,,1,,10,,,,6-8 July 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Welcome to (and from) the Digital Citizen,2013,"In this introductory column, the author explores some issues regarding the definition of ""digital citizenship,"" focusing on the associated rights and responsibilities, the value to be gained from citizenship, and the problems caused by conflict.",Blogs;Communities;Government policies;Internet,Internet governance;citizenship;democracy;rights,K. O'Hara,University of Southampton,IEEE Internet Computing,20130121,17,1,92,95,1089-7801;10897801,,10.1109/MIC.2013.17,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6415921,,,,1,,14,,,,Jan.-Feb. 2013,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
A rating system that open-data repositories must satisfy to be considered OER: Reusing open data resources in teaching,2017,"The re-use of digital content is an essential part of the knowledge-based economy. The online accessibility of open materials will make possible for teachers, students and self-learners to use them for leisure, studies or work. Recent studies have focused on the use or reuse of digital resources with specific reference to the open data field. Moreover, open data can be reused - for both commercial and non-commercial purposes - for uses such as developing learning and educational content, with full respect for copyright and related rights. This work presents a rating system for open data as OER is proposed. This rating system present a framework to search, download and re-use digital resources by teachers and students. The rating system proposed is built from the ground upwards on Open data principles and Semantic Web technologies. By following open data best practices and Linked Data principles, open data initiative ensures that data hosted can be fully connected into a Web of Linked Data. This work aims at sharing good practices for administrative/academics/researchers on gathering and disseminating good quality data, using interoperable standards and overcoming legal obstacles. In this way, open data becomes a tool for teaching and educational environments to improve engagement and student learning. Designing an open data repository that manages and shares information of different catalogues and an evaluation tool to OER will allow teachers and students to increase educational contents and to improve relationship between open data initiatives and education context.",Context;Education;Government;Portals;Tools,component;formatting;insert (key words);style;styling,N. Piedra; J. Chicaiza; J. L√≥pez; E. T. Caro,"Universidad T&#x00E9;cnica particular de Loja, Ecuador, Departamento de Ciencias de la Computaci&#x00F3;n, Loja, Ecuador",2017 IEEE Global Engineering Education Conference (EDUCON),20170608,,,1768,1777,,Electronic:978-1-5090-5467-1; POD:978-1-5090-5468-8; USB:978-1-5090-5466-4,10.1109/EDUCON.2017.7943089,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943089,Linked Data;computer aided instruction;open systems;semantic Web;teaching,OER;Web of Linked Data;digital resource downloading;digital resource re-use;digital resource search;digital resources;educational content;educational environments;interoperable standards;knowledge-based economy;learning content;online accessibility;open data resources;open materials;open-data repositories;rating system;semantic Web technologies;student engagement improvement;student learning improvement;teaching environments,,,,,,,,25-28 April 2017,,IEEE,IEEE Conference Publications,,,,,,,,,,,
An API for Quran portal using Drupal technology,2014,"In this paper, we describe the Research and development of a portal using Drupal technology on cloud. The main focus is on designing a portal for Quran Application using Drupal which can be a center of learning resource for various users and can be hosted on cloud. It includes different features which are useful as a knowledge center. Its features can also be used by any internet enable device which can be a deemed as modern application. The quality and assurance of Quran Text is also taken into consideration. It also promotes for research and development of new tools and applications with the provision of API. This paper provides an account of Search API and API.",Computer architecture;Content management;Internet;Mobile communication;Ontologies;Portals;Software,API;Drupal;Qur'an,Z. A. Adhoni; H. A. Hamad; Z. A. Adhoni,"Inf. Technol. Dept., Qassim Univ., Qassim, Saudi Arabia",The Fifth International Conference on the Applications of Digital Information and Web Technologies (ICADIWT 2014),20140515,,,160,164,,Electronic:978-1-4799-2259-8; POD:978-1-4799-2260-4,10.1109/ICADIWT.2014.6814697,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6814697,Internet;application program interfaces;cloud computing;learning (artificial intelligence);portals,API;Drupal technology;Internet;Quran portal;Quran text;cloud computing;knowledge center,,0,,11,,,,17-19 Feb. 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
TripleCloud: An Infrastructure for Exploratory Querying over Web-Scale RDF Data,2011,"As the availability of large scale RDF data sets has grown, there has been a corresponding growth in researchers' and practitioners' interest in analyzing and investigating these data sets. However, given their size and messiness, there is significant overhead in setting up the infrastructure to store and query them. In this paper, we present Triple Cloud, a system that aims to lower the entry cost to exploring Web-scale RDF data sets. The system takes advantage of existing cloud based key-value stores (e.g.BigTable, HBase) to both enable scalability as well as hide the complexities of infrastructure deployment and maintenance. It layers over these key-value stores a robust query engine able to return approximate answers. We test the scalability of the approach scaling to over 3 billion triples for complex queries. In addition to an implementation over HBase, Triple Cloud runs over the Google App Engine, allowing us to perform a cost evaluation of the approach.",Distributed databases;Engines;Google;Resource description framework;Scalability;Servers,Cloud Computing;Key-value stores;RDF;SPARQL,C. Gueret; S. Kotoulas; P. Groth,"VU Univ. Amsterdam, Amsterdam, Netherlands",2011 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology,20111010,3,,245,248,,Electronic:978-0-7695-4513-4; POD:978-1-4577-1373-6,10.1109/WI-IAT.2011.166,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6040851,Internet;query processing;search engines,Google App Engine;TripleCloud;Web-scale RDF data;cloud based key-value store;complex query;exploratory query;robust query engine,,1,,14,,,,22-27 Aug. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
A Linked Data Approach to Publishing Complex Scientific Workflows,2011,"Past data management practices in many fields of natural science, including climate research, have focused primarily on the final research output -- the research publication -- with less attention paid to the chain of intermediate data results and their associated metadata, including provenance. Data were often regarded merely as an adjunct to the publication, rather than a scientific resource in their own right. In this paper, we attempt to address the issues of capturing and publishing detailed workflows associated with the climate/research datasets held by the Climatic Research Unit (CRU) at the University of East Anglia. To this end, we present a customisable approach to exposing climate research workflows for the effective re-use of the associated data, through the adoption of linked-data principles, existing widely adopted citation techniques (Digital Object Identifier) and data exchange mechanisms (Open Archives Initiative Object Reuse and Exchange).",Communities;Geospatial analysis;ISO;ISO standards;Meteorology;Publishing;Unified modeling language,CSML;Climate Research;Geospatial;ISO 19156;Linked-data;OAI-ORE;Provenance;Scientific workflow,A. Shaon; S. Callaghan; B. Lawrence; B. Matthews; A. Woolf; T. Osborn; C. Harpham,"e-Sci. Centre, Sci. & Technol. Facilities Council, Didcot, UK",2011 IEEE Seventh International Conference on eScience,20120109,,,303,310,,Electronic:978-0-7695-4597-4; Electronic:978-1-4577-2163-2; POD:978-1-4577-2163-2,10.1109/eScience.2011.49,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6123292,electronic data interchange;publishing,Climatic Research Unit;University of East Anglia;complex scientific workflow publishing;data exchange mechanism;data management practice;digital object identifier;linked data approach;open archives initiative object exchange;open archives initiative object reuse;research workflow,,5,,12,,,,5-8 Dec. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Towards a Comprehensive Online Portal and Mobile Friendly Qur'an Application,2013,"This paper aims to provide a detailed account of the research and development efforts put in the design and development of a complete and comprehensive online cloud Qur'an portal. This portal will make all the reading and resource sections accessible to the audience whether they are using laptops, PCs, mobile, tablet, or personal digital assistants. In its completed form, the portal will cover almost all themes related to Qur'an, such as 'Al-Mus'haf', 'reciter', 'translation', 'search', 'study materials', and 'videos of scholars on Tajweed'. The application will provide a specific widget interface on a mobile phone, enabling quick access and implementing the specific multimedia features of a mobile phone. A Qur'an authentic translation for non-Arabic users is also available, and transliteration of Qur'an in Urdu for people who cannot read Urdu but understand it will also be included. It will also promote the research and study of Qur'an through an easy Qur'an search tools.",Mobile communication;Mobile handsets;Portals;Search problems;Servers;Software,Islam;Muslims;Portal;Quran;application;information;mobile;tablet;web,Z. A. Adhoni; H. A. Hamad; A. A. Siddiqi; L. E. Mortaji,"IT Dept., Qassim Univ., Qassim, Saudi Arabia",2013 Taibah University International Conference on Advances in Information Technology for the Holy Quran and Its Sciences,20150928,,,138,143,,Electronic:978-1-4799-2823-1; POD:978-1-4799-2824-8,10.1109/NOORIC.2013.38,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7277235,cloud computing;humanities;mobile computing;multimedia systems;notebook computers,Qur'an authentic translation;mobile friendly Qur'an application;mobile phone;multimedia features;online cloud Qur'an portal;personal digital assistants;quick access;resource sections,,4,,19,,,,22-25 Dec. 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
A study on the open platform modeling for linked open data ecosystem in public sector,2013,"This Study analyzes the cases of the U.S. and U.K., Wikipedia, and as well as domestic environment from the perspective of formulating a nation-wide data linking system for Korea. Based on this analysis, a linkage platform for public sector data, named ‚ÄúNational DBPedia‚Ä?is designed and implemented utilizing open platform and LOD (Linked Open Data). In addition a foundation for governance including LOD-based metadata basic design and registration method and operations is also designed. In addition, actual public and private sector data are applied in the actual field for a proof-of-concept. On the basis of this study, By expanding public and private sector data linkages, the research provides the cornerstone for building a public sector ‚Äúwikipedia‚Ä?for Korea.",Data mining;Data systems;Electronic publishing;Encyclopedias;Resource description framework,DBpedia;LOD;Open Platform,Suck-hyun Song; Tae-Dong Kim; Myung-Won,"Dept. of Inf. Resource Planning, Yonsei Univ., Seoul, South Korea",2013 15th International Conference on Advanced Communications Technology (ICACT),20130328,,,730,734,1738-9445;17389445,Electronic:978-89-968650-1-8; POD:978-1-4673-3148-7,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6488289,Web sites;government data processing;meta data;public administration;public domain software,Korea;LOD-based meta data design method;LOD-based meta data registration method;National DBPedia;UK;US;Wikipedia;domestic environment;linked open data ecosystem;open platform modeling;private sector data linking system;public sector data linking system,,0,,13,,,,27-30 Jan. 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Dataset Retrieval,2013,"Recently, a large number of dataset repositories, catalogs and portals are emerging in the science and government realms. Once a large number of datasets are published on such data portals, the question arises how to retrieve datasets satisfying an information need. In this paper, we present an approach for retrieving datasets according to user queries. We define dataset retrieval as a specialization of information retrieval. Instead of retrieving documents that are relevant to a certain information need, dataset retrieval describes the process of returning relevant RDF datasets. As with information retrieval, the term relevance cannot be clearly defined when using traditional methods like stemming. The inherent usage of RDF in these datasets enables a better way of retrieving relevant ones. We therefore propose an additional retrieval mechanism, which is inspired by facet search: dataset filtering. When querying, the entire set of available datasets is processed by a set of semantic filters each of which can unambiguously decide whether or not a given dataset is relevant to the query. The resulting set is then given back to the requester. We implemented and evaluated our approach in CKAN, which fuels publicdata.eu and is the most popular data portal worldwide.",Catalogs;Companies;Portals;Resource description framework;Semantics;Vocabulary,RDF;VoID;dataset filtering;dataset repository;dataset retrieval;information retrieval;similarity relation;vocabulary,S. R. Kunze; S. Auer,"Dept. of Comput. Sci., Chemnitz Univ. of Technol., Chemnitz, Germany",2013 IEEE Seventh International Conference on Semantic Computing,20140102,,,1,8,,Electronic:978-0-7695-5119-7; POD:978-1-4799-1371-8,10.1109/ICSC.2013.12,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693487,information filtering;information needs;query processing;relevance feedback,CKAN;RDF datasets;catalogs;data portals;dataset filtering;dataset repositories;dataset retrieval;facet search;information need;information retrieval;semantic filters;term relevance;user queries,,2,,16,,,,16-18 Sept. 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Triples in the clouds,2013,"The W3C's Resource Description Framework (or RDF, in short) is a promising candidate which may deliver many of the original semi-structured data promises: flexible structure, optional schema, and rich, flexible URIs as a basis for information sharing. Moreover, RDF is uniquely positioned to benefit from the efforts of scientific communities studying databases, knowledge representation, and Web technologies. Many RDF data collections are being published, going from scientific data to general-purpose ontologies to open government data, in particular in the Linked Data movement. Managing such large volumes of RDF data is challenging, due to the sheer size, the heterogeneity, and the further complexity brought by RDF reasoning. To tackle the size challenge, distributed storage architectures are required. Cloud computing is an emerging paradigm massively adopted in many applications for the scalability, fault-tolerance and elasticity features it provides. This tutorial discusses the problems involved in efficiently handling massive amounts of RDF data in a cloud environment. We provide the necessary background, analyze and classify existing solutions, and discuss open problems and perspectives.",Cognition;Conferences;Query processing;Resource description framework;Tutorials,,Z. Kaoudi; I. Manolescu,"Inria Saclay-Ile-de-France and Universit&#x00E9; Paris-Sud B&#x00E2;timent 650 (PCRI), 91405 Orsay Cedex, France",2013 IEEE 29th International Conference on Data Engineering (ICDE),20130624,,,1258,1261,1063-6382;10636382,Electronic:978-1-4673-4910-9; POD:978-1-4673-4909-3,10.1109/ICDE.2013.6544918,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6544918,cloud computing;database management systems;fault tolerant computing;inference mechanisms;memory architecture;ontologies (artificial intelligence),RDF data collection;RDF data management;RDF reasoning;W3C;Web technology;cloud computing;cloud environment;database;distributed storage architecture;fault-tolerance;flexible URI;flexible structure;general-purpose ontology;information sharing;knowledge representation;linked data movement;open government data;optional schema;resource description framework;scientific community;scientific data;semistructured data,,0,,49,,,,8-12 April 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Domain-Specific Backlinking Services in the Web of Data,2010,"This paper describes an Open Linked Data backlinking service, a generic architecture component to support the discovery of useful links between items across highly connected data sets. Using Public Sector Information (PSI) currently available as Linked Data, we demonstrate that contemporary publishing practices do not adequately support the ability to navigate or automatically traverse between resources published by different vendors, or the capacity to discover information relevant to a particular URL Although some useful services in this area have been developed, such as large triple indexes of published data, and the collection of sameAs relationships between individuals, we believe that an important component is missing: a mechanism to discover the backlinks to relevant resources that cannot be found by direct URI resolution. We present the implementation of such a component, integrating data from various PSI sources.",,,M. Salvadores; G. Correndo; M. Szomszor; Y. Yang; N. Gibbins; I. Millard; H. Glaser; N. Shadbolt,"IAM Group, Univ. of Southampton, Southampton, UK",2010 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,20101101,1,,318,323,,Electronic:978-0-7695-4191-4; POD:978-1-4244-8482-9,10.1109/WI-IAT.2010.34,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5616578,Web services;semantic Web,Web of Data;direct URI resolution;domain specific backlinking service;generic architecture component;open linked data backlinking service;public sector information;useful links discovery,,1,,13,,,,Aug. 31 2010-Sept. 3 2010,,IEEE,IEEE Conference Publications,,,,,,,,,,,
"CSV-X: A Linked Data Enabled Schema Language, Model, and Processing Engine for Non-Uniform CSV",2016,"At present there are numbers of tools and schemas to aid in publishing CSV as RDF. However, there are still many non-uniform CSV datasets, which cannot effectively be processed using available solutions. This paper proposes CSV-X, a novel schema language, model, and processing engine for non-uniform CSV enabling annotation, validation, cross-referencing, linked data, RDF serialization, and transformation to other formats. Common non-uniform patterns are identified and used as a basis to create language constructs that can describe these patterns. The value reference via dynamic variable declaration making it possible to describe arbitrary relations between schema entities. Each schema entity can be mapped with a parameterizable template, allowing flexible transformation to other formats. The language processor is implemented and evaluated against real-world non-uniform CSV datasets. The results show that CSV-X can effectively process CSVs with non-uniform patterns into more advance data model in RDF.",Data models;Data structures;Engines;Resource description framework;Semantics;Tools,CSV Schema;Linked Data;Non-Uniform CSV;Open Data;RDF,W. Chaochaisit; K. Sakamura; N. Koshizuka; M. Bessho,"Interfaculty Initiative in Inf. Studies, Univ. of Tokyo, Tokyo, Japan","2016 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",20170504,,,795,804,,Electronic:978-1-5090-5880-8; POD:978-1-5090-5881-5,10.1109/iThings-GreenCom-CPSCom-SmartData.2016.167,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917195,data handling;high level languages;publishing,CSV-X;RDF serialization;cross-referencing;linked data;linked data enabled schema language;non-uniform CSV;nonuniform CSV enabling annotation;novel schema language;processing engine,,,,,,,,15-18 Dec. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Exposing the Underlying Schema of LOD Sources,2015,"The Linked Data Principles defined by Tim-Berners Lee promise that a large portion of Web Data will be usable as one big interlinked RDF database. Today, with more than one thousand of Linked Open Data (LOD) sources available on the Web, we are assisting to an emerging trend in publication and consumption of LOD datasets. However, the pervasive use of external resources together with a deficiency in the definition of the internal structure of a dataset causes many LOD sources are extremely complex to understand. In this paper, we describe a formal method to unveil the implicit structure of a LOD dataset by building a (Clustered) Schema Summary. The Schema Summary contains all the main classes and properties used within the datasets, whether they are taken from external vocabularies or not, and is conceivable as an RDFS ontology. The Clustered Schema Summary, suitable for large LOD datasets, provides a more high level view of the classes and the properties used by gathering together classes that are object of multiple instantiations.",Cascading style sheets;Data models;Government;Navigation;Ontologies;Resource description framework;Vocabulary,Linked Open Data;RDFS ontology;SPARQL;schema summarization,F. Benedetti; S. Bergamaschi; L. Po,"Dipt. di Ing. Enzo Ferrari, Univ. di Modena e Reggio Emilia, Modena, Italy",2015 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT),20160204,1,,301,304,,Electronic:978-1-4673-9618-9; POD:978-1-4673-9619-6,10.1109/WI-IAT.2015.99,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7396819,cloud computing;ontologies (artificial intelligence);pattern clustering,LOD cloud;Linked Open Data;RDFS ontology;Web;clustered schema summary,,,,10,,,,6-9 Dec. 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
SPITFIRE: toward a semantic web of things,2011,"The developed world is awash with sensors. However, they are typically locked into unimodal closed systems. To unleash their full potential, access to sensors should be opened such that their data and services can be integrated with data and services available in other information systems, facilitating novel applications and services that are based on the state of the real world. We describe our vision and architecture of a Semantic Web of Things: a service infrastructure that makes the deployment and use of semantic applications involving Internet-connected sensors almost as easy as building, searching, and reading a web page today.",Communication protocols;Ontologies;Resource description framework;Semantics;Sensor phenomena and characterization;Sensors,,D. Pfisterer; K. Romer; D. Bimschas; O. Kleine; R. Mietz; C. Truong; H. Hasemann; A. Kr√∂ller; M. Pagel; M. Hauswirth; M. Karnstedt; M. Leggieri; A. Passant; R. Richardson,University of L&#252;beck,IEEE Communications Magazine,20111110,49,11,40,48,0163-6804;01636804,,10.1109/MCOM.2011.6069708,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6069708,semantic Web;sensors,Internet-connected sensors;SPITFIRE;Web page;information systems;semantic Web of things;sensors;unimodal closed systems,,102,1,10,,,,Nov-11,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
COSAP: Contract-Oriented Sensor-Based Application Platform,2017,"Research and development on participatory sensing that accumulates a large amount of data acquired from users on the cloud and handles them as big data has proceeded due to the spread of sensor devices with miniaturized and advanced functions typified by smartphones. However, in service configuration models based on the current participatory sensing for which the cloud is a core component, there is a problem in that it is not possible to flexibly distribute information according to the data provisioning policy. In this paper, we propose a new sensor-based application platform based on a service configuration model that does not use a server or a cloud. In addition, we design and implement a contract-oriented information flow protocol, which realizes flexible reflection of the provisioning policy on that platform. Furthermore, we discuss feasibility and scope of the proposed protocol through simulation experiments.",Biomedical monitoring;Clouds;Data models;Protocols;Smart phones;Temperature sensors,Contract protocol;contents flow;mobile ad-hoc network;multi agent system;network service platform;participatory sensing;ubiquitous computing,T. Oide; T. Abe; T. Suganuma,"Society for the Promotion of Science, Tokyo, Japan",IEEE Access,20170602,5,,8261,8275,2169-3536;21693536,,10.1109/ACCESS.2017.2696027,JSPS KAKENHI; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7906594,Big Data;cloud computing,COSAP;big data;contract-oriented information flow protocol;contract-oriented sensor-based application platform;data provisioning policy;participatory sensing;service configuration models;smartphones,,,,,,,20170424,2017,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
Will Graph Data Management Techniques Contribute to the Successful Large-Scale Deployment of Semantic Web Technologies?,2012,"The Semantic Web vision ambitions to create a large-scale, interconnected Web of machine-processable data in addition to the current Web of documents currently available online. Its most recent and visible incarnation - the Linked Data movement1 - is based on three main principles: using dereferenceable Web identifiers (HTTP URIs) to uniquely identify the various pieces of data online; providing semi-structured information - most often using standard formats like RDF [1] and OWL [2] - about the data when dereferencing the corresponding URIs; providing links to other, semantically related pieces of data.",Database languages;Ontologies;Query processing;Resource description framework;Semantics,,P. Cudre-Mauroux,"eXascale Infolab, Univ. of Fribourg, Fribourg, Switzerland",2012 IEEE 28th International Conference on Data Engineering Workshops,20120927,,,213,215,,Electronic:978-0-7695-4748-0; POD:978-1-4673-1640-8,10.1109/ICDEW.2012.76,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6313682,document handling;graph theory;knowledge representation languages;semantic Web,HTTP URL;OWL;RDF;Web documents;dereferenceable Web identifiers;graph data management techniques;large-scale deployment;linked data movement;machine-processable data;semantic Web technology;semistructured information,,0,,21,,,,1-5 April 2012,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Fostering government transparency and public participation through linked open government data: Case study: Indonesian public information service,2014,"Open data refers to data that is freely available in the Internet and can be used, reused, and redistributed without restrictions from copyright or patent. This paper describes our approach to fostering government transparency and public participation through linked open government data (LOGD). We have analyzed how Indonesian Government deals with the open government data issues, and we define its maturity level based on the existing maturity framework. Then, we proposed a conceptual framework advance the Indonesian open government data maturity level to encourage further improvement on the government transparency and public participation. To show the feasibility of our approach, we developed a case study to show how the open data advancement could support the government transparency and public participation. Our case study shows promising result and we are eager to continue working in the area in a bigger scale.",Data models;Education;Government;Joining processes;Portals;Resource description framework;Standards,linked data;open data;open government data;public participation,P. R. Aryan; F. J. Ekaputra; W. D. Sunindyo; S. Akbar,"Institute for Software Technology and Interactive Systems, Vienna University of Technology, Vienna, Austria",2014 International Conference on Data and Software Engineering (ICODSE),20150319,,,1,6,,Electronic:978-1-4799-7996-7; POD:978-1-4799-7997-4,10.1109/ICODSE.2014.7062655,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7062655,Internet;government data processing;open systems;public administration,Indonesian government;Internet;LOGD;conceptual framework;government transparency;linked open government data;public participation,,1,,8,,,,26-27 Nov. 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Open Government Data on the Web: A Semantic Approach,2011,"Initiatives of making government data open are continuously gaining interest recently. While this presents immense benefits for increasing transparency, the problem is that the data are frequently offered in heterogeneous formats, missing clear semantics that clarify what the data describe. The data are displayed in ways, which are not always clearly understandable to a broad range of user communities that need to make informed decisions. We address these problems and propose an overall approach, in which raw statistical data independently gathered from the different government institutions are formally and semantically represented, based on an ontology that we present in this paper. We further introduce the approach deployed in publishing these data in alignment with Linked Data principles, as well as present the methods implemented to query single or combined dataset and visualize the results in understandable ways. The introduced approach enables data integration, leading to vast opportunities for information exchange, analysis on combined datasets, simplicity to create mashups, and exploration of innovative ways to use these data creatively.",Data models;Data visualization;Government;Ontologies;Publishing;Resource description framework;Semantics,linked open data;ontology;open government data;semantic web;statistical metadata,J. Hoxha; A. Brahaj,"Inst. of Appl. Inf. & Formal Description Methods (AIFB), Karlsruhe Inst. of Technol., Karlsruhe, Germany",2011 International Conference on Emerging Intelligent Data and Web Technologies,20111114,,,107,113,,Electronic:978-0-7695-4456-4; POD:978-1-4577-0840-4,10.1109/EIDWT.2011.24,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6076428,government data processing;meta data;ontologies (artificial intelligence);semantic Web;statistical analysis,data integration;decision making;government institutions;information analysis;information exchange;linked data principles;ontology;open government data;semantic approach;statistical data;user communities,,9,,9,,,,7-9 Sept. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
